RESOURCE_NAME,WEB_ADDRESS,PRIORITY_RESOURCE,STATE
"Advocates for Calm Traffic (Norwalk, CT)",http://calmtraffic.org/NonprofitsandNeighborhoodAssociationsinNorwalk.htm,,CT
Airports Council International - North America,http://www.aci-na.org/,,NATIONAL
"AK Dept of Commerce, Municipal Directory",http://www.commerce.state.ak.us/dca/MuniDirPublic/MODP.htm,,AK
Alabama Association of Conservation Districts,https://alconservationdistricts.gov/aacd/,,AL
Alabama Association of Housing and Redevelopment Authorities,http://www.aahra.org,,AL
Alabama Department of Examiners of Public Accounts,https://examiners.alabama.gov/audit_reports.aspx,,AL
Alabama Dept of Conservation & Natural Resources,http://www.outdooralabama.com/,,AL
Alabama Dept of Mental Health,http://www.mh.alabama.gov/,,AL
Alabama Hospital Association - Directory,https://www.alaha.org/resources/hospital-directory/,,AL
Alabama Natural Gas Association - Membership List,http://alnga.org/,,AL
Alabama One Call - Membership List,www.al1call.com/membership_list.doc,,AL
Alabama Public Service Commission,http://www.psc.state.al.us/,,AL
Alabama Safe Drinking Water Information System (SDWIS),https://ofmpub.epa.gov/apex/sfdw/f?p=108:200::::::,,AL
Alabama Secretary of State,https://sos.alabama.gov/,,AL
The Retirement System of Alabama (RSA),https://www.rsa-al.gov/,,AL
Alabama State Department of Education,http://www.alsde.edu/,,AL
Alabama Department of Economic & Community Affairs,http://www.adem.alabama.gov/,YES,AL
Allen County Clerk,http://www.kscountyclerks.org/,,NATIONAL
American Association of Port Authorities (AAPA) Port Authority Listing,http://www.aapa-ports.org/home.cfm,,NATIONAL
American Hospital Association (AHA) Guide,,,NATIONAL
American Public Transportaion Association,https://www.apta.com/research-technical-resources/public-transportation-links/illinois/#a2,,NATIONAL
American Public Transportation Association (APTA) online,http://publictransportation.org/tools/,,NATIONAL
American Water Works Association,http://sourcebook.awwa.org/,,NATIONAL
AR Local Police and Fire Retirement System,https://lopfi-prb.com/,,AR
AR Public Employees Retirement System,www.apers.org,,AR
Arizona Dept of Forestry and Fire Management,http://dffm.az.gov/fire-marshal/firefighter-relief-and-pension-fund,,AZ
Arizona Dept of Water Resources,http://www.azwater.gov/azdwr/default.aspx,,AZ
Arizona Fire District Association,http://www.afdanews.org/,,AZ
Arizona Office of the State Treasurer,http://www.aztreasury.gov/,,AZ
Arizona Tax Research Foundation,http://www.arizonatax.org/,,AZ
Arkansas Association of Conservation Districts,http://aracd.org/default.htm,,AR
Arkansas Department of Aeronautics,http://www.fly.arkansas.gov/,,AR
Arkansas Department of Environmental Quality,http://www.adeq.state.ar.us/home/pdssql/pds.asp,,AR
Arkansas Department of Finance and Administration,http://www.dfa.arkansas.gov/Pages/default.aspx,,AR
ARKANSAS HOUSING AUTHORITY,https://arnahro.org/membership/,,AR
Arkansas Insurance Department,www.insurance.arkansas.gov,,AR
Arkansas Secretary of State,http://www.sos.arkansas.gov/corps/search_all.php,,AR
Arkansas State Highway & Transportation Dept,http://www.arkansashighways.com/,,AR
Arkansas State Treasury - Local Government,http://www.artreasury.gov/,,AR
Association of Florida Conservation Districts,https://afcd.us/florida-swcd-districts/,,FL
Association of Governmental Risk Pools,https://www.agrip.org/about/membership/member-list,,NATIONAL
Association of Oregon Counties,https://oregoncounties.org/about/public-records/,,OR
Baltimore City - Urban Streams Water Quality Monitoring Project,http://www.saveourstreams.org/SOS-baltimorecity.htm,,MD
Becker Hospital Review,https://www.beckershospitalreview.com/,,NATIONAL
CA State Controller's Office,http://www.sco.ca.gov/ard_local.html,YES,CA
California Association of Local Agency Formation Commissions (CALAFCO),http://www.calafco.org/directory.htm,,CA
California Department of Education School Directory,http://www.cde.ca.gov/re/sd/,,CA
California Department of Transportation (CALTRANS),http://www.dot.ca.gov/,,CA
California Healthcare Foundation,http://www.chcf.org/,,CA
California Planners' Information Network,http://www.calpin.ca.gov/directory/index.php,,CA
California Professional Firefighters,http://www.cpf.org/go/cpf/,,CA
California Special District Association,http://www.csda.net/,,CA
Center for Municipal Finance URL list,http://www.municipalfinance.org/,,NATIONAL
Center for Retirement Research at Boston College,http://crr.bc.edu/,,MA
Central Massachusetts Regional Planning Commission,,,MA
Cochise County Special District Directory,http://www.cochise.az.gov/cochise_elections.aspx?id=2330&ekmensel=c580fa7b_162_234_2330_2,,AZ
Colorado BOCES Association,http://www.coloradoboces.org/,,CO
Colorado Department of Education,http://www.cde.state.co.us/,,CO
Colorado Department of Local Affairs - Division of Local Government,http://www.colorado.gov/cs/Satellite/DOLA-Main/CBON/1251589672852,YES,CO
Colorado State Auditor,http://www.leg.state.co.us/osa/coauditor1.nsf/home?openform,,CO
Commission on Government Forecasting and Accountability Research Unit,http://cgfa.ilga.gov/Home.aspx,,GA
CT Association of Zoning Enforcement Officials,,,CT
CT Commission on Fire Prevention & Control,,,CT
CT Conference of Municipalities (CCM),http://ccm-ct.org/Plugs/ccm-members.aspx; http://research.ccm-ct.org/Plugs/research.aspx,,CT
CT Council of Small Towns (COST),,,CT
CT Department of Economic & Community Development,http://www.ct.gov/ecd/site/default.asp,,CT
CT Dept of Construction Services / Office of Education & Data Management,,,CT
CT Housing Finance Authority,,,CT
CT Office of Policy & Management (OPM),http://www.ct.gov/opm/cwp/view.asp?a=2984&q=383170,YES,CT
CT Office of State Comptroller,http://www.osc.state.ct.us/stateacct/coding/agency.htm,,CT
CT Secretary of State,http://www.sots.ct.gov,,CT
CT State Library,http://www.iconn.org/staff/PublicLibraryDirectory.aspx,,CT
CT Town Clerks Association,,,CT
CTTRANSIT,http://www.cttransit.com/,,CT
"DC Office of Commercial Revitalization, Business Improvement District (BID) listing",http://restore.dc.gov/restoredc/cwp/view.asp?a=1409&q=572848,,DC
Delaware cities & municipalities info,http://portal.delaware.gov/locations/,,DE
Delaware Dept of Community Affairs,http://archives.delaware.gov/collections/aghist/1420.shtml,,DE
